Subbasin ID,Total Area (acres),Composite CN,,,,,,,
103,14.14,77.96,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,MF,A,68.93,77,5307.75,,,,
,R1,A,9.03,51,460.44,,,,
,MF,D,3.44,92,316.21,,,,
,R1,D,43.2,84,3629.03,,,,
,,,,,,,,,
104,3.92,80.65,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,A,9.19,98,900.47,,,,
,MF,A,68.93,77,5307.75,,,,
,R1,A,9.03,51,460.44,,,,
,IMP,D,10.18,98,997.79,,,,
,MF,D,3.44,92,316.21,,,,
,R1,D,43.2,84,3629.03,,,,
,,,,,,,,,
105,22.19,78.3,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,A,3.44,98,337.52,,,,
,IMP,A,9.19,98,900.47,,,,
,R1,A,47.52,51,2423.43,,,,
,R1,A,2.6,51,132.48,,,,
,R1,A,52.98,51,2702.1,,,,
,R1,A,1.15,51,58.44,,,,
,R4,A,19.31,61,1178.12,,,,
,IMP,D,10.18,98,997.79,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,16.4,84,1377.26,,,,
,R4,D,32.08,87,2791.32,,,,
,,,,,,,,,
106,26.83,79.98,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,R1,D,211.98,84,17806.14,,,,
,,,,,,,,,
107,58.62,80.82,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,52.55,84,4414,,,,
,R1,D,22.59,84,1897.38,,,,
,,,,,,,,,
108,29.95,82.24,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,23.23,80,1858.79,,,,
,Grass,D,69.57,80,5565.9,,,,
,Grass,D,59.13,80,4730.15,,,,
,IMP,D,2.95,98,288.81,,,,
,R1,D,16.01,84,1344.67,,,,
,R1,D,58.45,84,4909.96,,,,
,R1,D,86.23,84,7243.56,,,,
,R1,D,5.93,84,498.38,,,,
,R1,D,0.06,84,4.94,,,,
,,,,,,,,,
109,25.68,79.98,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,R1,D,211.98,84,17806.14,,,,
,,,,,,,,,
110,1.82,84.67,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,4.88,84,410.21,,,,
,,,,,,,,,
111,43.43,80.73,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,4.88,84,410.21,,,,
,R1,D,2.97,84,249.55,,,,
,,,,,,,,,
112,27.09,82.95,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,6.97,51,355.28,,,,
,R1,D,211.98,84,17806.14,,,,
,,,,,,,,,
113,46.54,82.92,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,A,0.61,98,59.9,,,,
,R1,A,0.06,51,2.98,,,,
,R1,A,18.51,51,943.93,,,,
,R1,A,3.9,51,198.68,,,,
,R1,A,0.61,51,31.31,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,104.19,84,8752.23,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,2.91,84,244.73,,,,
,R1,D,1.32,84,110.82,,,,
,,,,,,,,,
114,26.69,84.36,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,3.01,84,253.19,,,,
,,,,,,,,,
115,3.04,84.67,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,4.88,84,410.21,,,,
,,,,,,,,,
116,17.03,84.36,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,10.88,98,1066.45,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,3.01,84,253.19,,,,
,,,,,,,,,
117,28.33,82.42,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,5.86,80,469.04,,,,
,Grass,D,169.91,80,13592.63,,,,
,Grass,D,23.23,80,1858.79,,,,
,Grass,D,25.07,80,2005.74,,,,
,Grass,D,46.02,80,3681.34,,,,
,Grass,D,59.13,80,4730.15,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,4.27,84,359.01,,,,
,R1,D,86.23,84,7243.56,,,,
,R1,D,0.07,84,5.48,,,,
,R1,D,0.07,84,5.82,,,,
,R1,D,0.06,84,4.94,,,,
,,,,,,,,,
118,36.56,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
119,64.43,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,972.7,80,77815.97,,,,
,,,,,,,,,
120,163.13,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,634.23,84,53274.93,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,R1,D,22.56,84,1895.4,,,,
,,,,,,,,,
121,53.26,70.25,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,A,147.82,51,7539.01,,,,
,R1,A,52.95,51,2700.65,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,236.72,84,19884.09,,,,
,,,,,,,,,
122,129.85,81.66,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,D,0,80,0.33,,,,
,Grass,D,972.7,80,77815.97,,,,
,R1,D,0.59,84,49.73,,,,
,R1,D,31.6,84,2654.03,,,,
,R1,D,120.53,84,10124.49,,,,
,R1,D,44.31,84,3722.05,,,,
,R1,D,59.96,84,5036.78,,,,
,R1,D,236.72,84,19884.09,,,,
,R1,D,196,84,16464.02,,,,
,,,,,,,,,
123,27.53,78.33,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,A,3.44,98,337.52,,,,
,IMP,A,2.22,98,217.15,,,,
,R1,A,47.52,51,2423.43,,,,
,R1,A,52.98,51,2702.1,,,,
,R1,A,0,51,0.01,,,,
,IMP,D,10.18,98,997.79,,,,
,R1,D,413.47,84,34731.38,,,,
,R1,D,16.4,84,1377.26,,,,
,,,,,,,,,
124,41.91,81.66,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,IMP,D,0.24,98,23.52,,,,
,IMP,D,10.88,98,1066.45,,,,
,IMP,D,2.7,98,264.98,,,,
,IMP,D,3.11,98,305.04,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,52.55,84,4414,,,,
,R1,D,22.59,84,1897.38,,,,
,R1,D,0.9,84,75.29,,,,
,R1,D,1.02,84,85.69,,,,
,R1,D,0.75,84,62.64,,,,
,R1,D,4.88,84,410.21,,,,
,R1,D,2.56,84,214.75,,,,
,R1,D,0.45,84,37.64,,,,
,,,,,,,,,
125,36.3,80,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,B,71.23,68,4843.46,,,,
,R1,D,211.98,84,17806.14,,,,
,R1,D,1.94,84,162.96,,,,
,,,,,,,,,
126,23.74,72.19,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,Grass,A,13.93,39,543.42,,,,
,Grass,A,48.56,39,1893.77,,,,
,Grass,D,5.86,80,469.04,,,,
